Año,Mes,Puerto,Cód.Arancelario,Descripción.Cód.Arancelario,Operación,País.Origen,Puerto.Origen,País.Destino,Puerto.Destino,Unidades
2020,nov,S/C DE TENERIFE,0001C,Cruceristas en Transito,Tránsito,ESPAÑA,PUERTO DEL ROSARIO (FUERTEVENTURA),ESPAÑA,Santa Cruz de la Palma,1307
2020,nov,S/C DE TENERIFE,0001D,Conductores de camión,Cargadas,ESPAÑA,Santa Cruz de Tenerife,ESPAÑA,AGAETE (G.C.),1070
2020,nov,S/C DE TENERIFE,0001D,Conductores de camión,Cargadas,ESPAÑA,Santa Cruz de Tenerife,ESPAÑA,ARRECIFE DE LANZAROTE,3
2020,nov,S/C DE TENERIFE,0001D,Conductores de camión,Cargadas,ESPAÑA,Santa Cruz de Tenerife,ESPAÑA,CADIZ,7
2020,nov,S/C DE TENERIFE,0001D,Conductores de camión,Cargadas,ESPAÑA,Santa Cruz de Tenerife,ESPAÑA,HUELVA,13
2020,nov,S/C DE TENERIFE,0001D,Conductores de camión,Cargadas,ESPAÑA,Santa Cruz de Tenerife,ESPAÑA,LA LUZ Y LAS PALMAS,482
2020,nov,S/C DE TENERIFE,0001D,Conductores de camión,Cargadas,ESPAÑA,Santa Cruz de Tenerife,ESPAÑA,MORRO JABLE (FUERTEVENTURA),2
2020,nov,S/C DE TENERIFE,0001D,Conductores de camión,Cargadas,ESPAÑA,Santa Cruz de Tenerife,ESPAÑA,PUERTO DEL ROSARIO (FUERTEVENTURA),23
2020,nov,S/C DE TENERIFE,0001D,Conductores de camión,Cargadas,ESPAÑA,Santa Cruz de Tenerife,ESPAÑA,Santa Cruz de la Palma,2
2020,nov,S/C DE TENERIFE,0001D,Conductores de camión,Descargadas,ESPAÑA,AGAETE (G.C.),ESPAÑA,Santa Cruz de Tenerife,1098
2020,nov,S/C DE TENERIFE,0001D,Conductores de camión,Descargadas,ESPAÑA,ARRECIFE DE LANZAROTE,ESPAÑA,Santa Cruz de Tenerife,1
2020,nov,S/C DE TENERIFE,0001D,Conductores de camión,Descargadas,ESPAÑA,CADIZ,ESPAÑA,Santa Cruz de Tenerife,13
2020,nov,S/C DE TENERIFE,0001D,Conductores de camión,Descargadas,ESPAÑA,HUELVA,ESPAÑA,Santa Cruz de Tenerife,11
2020,nov,S/C DE TENERIFE,0001D,Conductores de camión,Descargadas,ESPAÑA,LA LUZ Y LAS PALMAS,ESPAÑA,Santa Cruz de Tenerife,398
2020,nov,S/C DE TENERIFE,0001D,Conductores de camión,Descargadas,ESPAÑA,MORRO JABLE (FUERTEVENTURA),ESPAÑA,Santa Cruz de Tenerife,36
2020,nov,S/C DE TENERIFE,0001D,Conductores de camión,Descargadas,ESPAÑA,Santa Cruz de la Palma,ESPAÑA,Santa Cruz de Tenerife,11
2020,nov,S/C DE TENERIFE,0001X,Cruceristas Inician/Finalizan Línea,Cargadas,ESPAÑA,Santa Cruz de Tenerife,ESPAÑA,ARRECIFE DE LANZAROTE,272
